시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 양천구 신정동,974-13,974,13,타임아트빌,29.25,18.77,202210,7,"28,000",3,2020,은행정로7길 48,,직거래,-
서울특별시 양천구 신정동,974-13,974,13,타임아트빌,29.25,18.77,202210,17,"30,000",5,2020,은행정로7길 48,,중개거래,서울 은평구
서울특별시 양천구 신정동,921-3,921,3,태경하이츠(921-3),75.6,39.66,202208,13,"38,300",4,2003,오목로 159-8,,중개거래,"서울 강서구, 서울 양천구"
서울특별시 양천구 신정동,957-6,957,6,태성아트B동,51.54,27.55,202205,7,"26,500",2,2002,은행정로11가길 2,,중개거래,서울 양천구
서울특별시 양천구 신정동,931-2,931,2,태현그린맨션A동,43.56,22.77,202302,6,"22,500",2,2002,신정중앙로8길 3,,중개거래,"경기 부천시, 서울 양천구"
서울특별시 양천구 신정동,930-38,930,38,토브빌,29.99,18.9,202205,28,"25,500",3,2016,중앙로52길 19-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,930-38,930,38,토브빌,29.99,18.9,202207,9,"26,000",6,2016,중앙로52길 19-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,930-38,930,38,토브빌,29.99,18.9,202207,11,"24,500",2,2016,중앙로52길 19-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,930-38,930,38,토브빌,29.19,18.39,202208,5,"24,000",2,2016,중앙로52길 19-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,982-3,982,3,토우빌라,48.06,20.95,202304,21,"21,500",3,2002,목동로9길 37,,중개거래,서울 양천구
서울특별시 양천구 신정동,128-40,128,40,평화아트빌,42,27.2,202304,3,"35,500",3,2018,신목로6길 8-1,,직거래,-
서울특별시 양천구 신정동,973-40,973,40,하나목동아이파크뷰(973-40),22.03,9.11,202207,13,"31,270",2,2020,오목로24길 27,,직거래,-
서울특별시 양천구 신정동,973-40,973,40,하나목동아이파크뷰(973-40),25.38,10.5,202303,23,"29,900",4,2020,오목로24길 27,20230502,중개거래,경기 고양덕양구
서울특별시 양천구 신정동,973-40,973,40,하나목동아이파크뷰(973-40),22.03,9.11,202304,9,"35,000",2,2020,오목로24길 27,,중개거래,서울 양천구
서울특별시 양천구 신정동,956-6,956,6,하은타운,34.6,20.2,202206,24,"33,500",4,2012,은행정로 43,,중개거래,서울 강서구
서울특별시 양천구 신정동,932-14,932,14,하이캐슬,43.34,27.47,202206,11,"28,000",6,2016,신정중앙로6길 4,,중개거래,"서울 구로구, 서울 양천구"
서울특별시 양천구 신정동,923-15,923,15,한강S클래스,29.78,13.93,202206,17,"20,500",2,2010,중앙로52길 32-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,930-19,930,19,한솔맨션(930-19),47.79,26.45,202205,3,"22,500",4,2002,신정중앙로6길 15,,중개거래,서울 양천구
서울특별시 양천구 신정동,930-19,930,19,한솔맨션(930-19),69.3,38.36,202207,14,"36,000",2,2002,신정중앙로6길 15,20221114,중개거래,서울 양천구
